"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_brand_nid"
"node","video","0","49","49","und","0","51"
"node","text","0","52","52","und","0","51"
"node","text","0","67","67","und","0","68"
"node","text","0","69","69","und","0","68"
"node","text","0","70","70","und","0","68"
"node","audio","0","81","81","und","0","90"
"node","video","0","149","149","und","0","90"
"node","text","0","150","150","und","0","51"
"node","video","0","152","152","und","0","90"
"node","text","0","154","154","und","0","90"
"node","text","0","154","441","und","0","90"
"node","video","0","165","165","und","0","112"
"node","text","0","166","166","und","0","112"
"node","text","0","167","167","und","0","112"
"node","video","0","180","180","und","0","51"
"node","video","0","183","183","und","0","112"
"node","text","0","186","186","und","0","90"
"node","video","0","187","187","und","0","51"
"node","text","0","218","218","und","0","112"
"node","text","0","222","222","und","0","68"
"node","text","0","228","228","und","0","68"
"node","video","0","239","239","und","0","90"
"node","video","0","249","249","und","0","112"
"node","text","0","253","253","und","0","68"
"node","video","0","261","261","und","0","112"
"node","audio","0","263","263","und","0","112"
"node","text","0","324","324","und","0","68"
"node","text","0","338","338","und","0","112"
"node","text","0","351","351","und","0","90"
"node","text","0","355","355","und","0","90"
"node","video","0","363","363","und","0","112"
"node","text","0","371","371","und","0","112"
"node","text","0","394","394","und","0","68"
"node","text","0","397","397","und","0","68"
"node","link","0","414","414","und","0","90"
"node","text","0","419","419","und","0","90"
"node","text","0","479","480","und","0","411"
"node","text","0","490","491","und","0","411"
"node","text","0","499","500","und","0","68"
"node","text","0","500","501","und","0","51"
"node","text","0","518","519","und","0","411"
"node","text","0","519","520","und","0","411"
"node","text","0","521","522","und","0","90"
"node","text","0","530","531","und","0","90"
"node","text","0","533","534","und","0","411"
"node","text","0","536","537","und","0","411"
"node","text","0","544","545","und","0","546"
"node","video","0","545","546","und","0","90"
"node","text","0","575","577","und","0","546"
"node","text","0","577","579","und","0","546"
"node","text","0","584","586","und","0","582"
"node","text","0","597","599","und","0","582"
"node","text","0","598","600","und","0","582"
"node","text","0","602","604","und","0","582"
"node","video","0","607","609","und","0","90"
"node","text","0","610","612","und","0","546"
"node","text","0","612","614","und","0","582"
"node","text","0","615","617","und","0","582"
"node","text","0","617","619","und","0","582"
"node","text","0","619","621","und","0","582"
"node","text","0","622","624","und","0","112"
"node","text","0","636","638","und","0","90"
"node","text","0","646","648","und","0","582"
"node","text","0","652","654","und","0","582"
"node","text","0","657","659","und","0","582"
"node","text","0","662","664","und","0","112"
"node","text","0","664","666","und","0","112"
"node","text","0","675","678","und","0","546"
"node","video","0","681","684","und","0","112"
"node","text","0","696","700","und","0","546"
"node","text","0","697","701","und","0","546"
"node","video","0","703","707","und","0","582"
"node","video","0","704","708","und","0","582"
"node","video","0","709","713","und","0","582"
"node","text","0","724","728","und","0","546"
"node","text","0","730","734","und","0","546"
"node","text","0","731","735","und","0","582"
"node","text","0","740","744","und","0","582"
"node","text","0","766","770","und","0","582"
"node","text","0","767","771","und","0","582"
"node","text","0","774","778","und","0","411"
"node","text","0","775","779","und","0","582"
"node","text","0","782","786","und","0","112"
"node","text","0","785","789","und","0","783"
"node","text","0","793","797","und","0","783"
"node","text","0","794","798","und","0","783"
"node","text","0","795","799","und","0","783"
"node","text","0","796","800","und","0","783"
"node","text","0","798","802","und","0","783"
"node","text","0","799","803","und","0","783"
"node","text","0","802","806","und","0","68"
"node","text","0","828","832","und","0","783"
"node","text","0","830","834","und","0","783"
"node","text","0","837","841","und","0","783"
"node","text","0","844","848","und","0","783"
"node","text","0","845","849","und","0","546"
"node","text","0","849","853","und","0","783"
"node","text","0","852","856","und","0","783"
"node","text","0","853","857","und","0","546"
"node","text","0","854","858","und","0","783"
"node","text","0","858","862","und","0","783"
"node","text","0","860","864","und","0","783"
"node","text","0","863","867","und","0","783"
"node","text","0","864","868","und","0","783"
"node","text","0","867","871","und","0","783"
"node","text","0","873","877","und","0","783"
"node","text","0","874","878","und","0","546"
"node","text","0","878","882","und","0","783"
"node","text","0","882","886","und","0","783"
"node","text","0","885","889","und","0","783"
"node","text","0","889","893","und","0","783"
"node","text","0","893","897","und","0","112"
"node","text","0","902","906","und","0","783"
"node","text","0","905","909","und","0","546"
"node","text","0","910","914","und","0","112"
"node","text","0","911","915","und","0","783"
"node","text","0","916","920","und","0","112"
"node","text","0","923","927","und","0","783"
"node","text","0","927","931","und","0","922"
"node","text","0","928","932","und","0","112"
"node","text","0","935","939","und","0","922"
"node","text","0","936","940","und","0","922"
"node","text","0","937","941","und","0","783"
"node","text","0","943","947","und","0","783"
"node","text","0","944","948","und","0","783"
"node","text","0","947","951","und","0","922"
"node","text","0","948","952","und","0","783"
"node","text","0","956","960","und","0","922"
"node","text","0","962","966","und","0","783"
"node","text","0","964","968","und","0","112"
"node","text","0","965","969","und","0","112"
