"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_contributor_nid"
"node","text","0","21","21","und","0","20"
"node","link","0","22","22","und","0","26"
"node","link","0","23","23","und","0","26"
"node","link","0","24","24","und","0","26"
"node","text","0","25","25","und","0","20"
"node","text","0","37","37","und","0","36"
"node","text","0","39","39","und","0","38"
"node","text","0","47","47","und","0","46"
"node","video","0","48","48","und","0","44"
"node","video","0","49","49","und","0","399"
"node","text","0","59","59","und","0","58"
"node","text","0","62","62","und","0","57"
"node","text","0","63","63","und","0","12"
"node","text","0","72","72","und","0","20"
"node","text","0","73","73","und","0","42"
"node","text","0","74","74","und","0","43"
"node","text","0","75","75","und","0","399"
"node","text","0","76","76","und","0","89"
"node","text","0","80","80","und","0","40"
"node","text","0","84","84","und","0","83"
"node","text","0","85","85","und","0","83"
"node","text","0","86","86","und","0","82"
"node","text","0","88","88","und","0","87"
"node","text","0","91","91","und","0","78"
"node","text","0","92","92","und","0","78"
"node","text","0","93","93","und","0","78"
"node","text","0","95","95","und","0","94"
"node","text","0","96","96","und","0","94"
"node","text","0","97","97","und","0","89"
"node","text","0","100","100","und","0","99"
"node","video","0","101","101","und","0","77"
"node","text","0","103","103","und","0","89"
"node","link","0","105","105","und","0","26"
"node","link","0","106","106","und","0","26"
"node","link","0","107","107","und","0","26"
"node","link","0","108","108","und","0","26"
"node","video","0","109","109","und","0","83"
"node","text","0","110","110","und","0","36"
"node","text","0","111","111","und","0","12"
"node","text","0","114","114","und","0","12"
"node","text","0","116","116","und","0","12"
"node","text","0","146","146","und","0","99"
"node","text","0","147","147","und","0","399"
"node","text","0","153","153","und","0","20"
"node","text","0","156","156","und","0","20"
"node","video","0","157","157","und","0","41"
"node","link","0","159","159","und","0","26"
"node","text","0","161","161","und","0","162"
"node","video","0","173","173","und","0","41"
"node","text","0","174","174","und","0","104"
"node","text","0","176","176","und","0","12"
"node","link","0","184","184","und","0","26"
"node","text","0","185","185","und","0","40"
"node","video","0","188","188","und","0","83"
"node","text","0","189","189","und","0","41"
"node","text","0","195","195","und","0","89"
"node","text","0","196","196","und","0","12"
"node","text","0","198","198","und","0","12"
"node","text","0","200","200","und","0","20"
"node","text","0","201","201","und","0","99"
"node","video","0","204","204","und","0","203"
"node","link","0","205","205","und","0","26"
"node","video","0","210","210","und","0","209"
"node","video","0","211","211","und","0","209"
"node","text","0","212","212","und","0","209"
"node","link","0","213","213","und","0","26"
"node","audio","0","214","214","und","0","203"
"node","text","0","219","219","und","0","231"
"node","text","0","220","220","und","0","26"
"node","link","0","221","221","und","0","40"
"node","text","0","230","230","und","0","12"
"node","text","0","232","232","und","0","83"
"node","text","0","233","233","und","0","26"
"node","link","0","234","234","und","0","26"
"node","text","0","235","235","und","0","12"
"node","text","0","240","240","und","0","58"
"node","text","0","241","241","und","0","41"
"node","text","0","243","243","und","0","12"
"node","text","0","248","248","und","0","12"
"node","text","0","255","255","und","0","78"
"node","video","0","256","256","und","0","26"
"node","text","0","262","262","und","0","12"
"node","text","0","264","264","und","0","26"
"node","text","0","265","265","und","0","102"
"node","link","0","266","266","und","0","26"
"node","text","0","271","271","und","0","12"
"node","text","0","272","272","und","0","26"
"node","video","0","273","273","und","0","12"
"node","video","0","274","274","und","0","83"
"node","text","0","277","277","und","0","12"
"node","text","0","278","278","und","0","12"
"node","text","0","279","279","und","0","12"
"node","text","0","280","280","und","0","12"
"node","text","0","283","283","und","0","12"
"node","text","0","284","284","und","0","26"
"node","text","0","286","286","und","0","12"
"node","text","0","289","289","und","0","12"
"node","text","0","290","290","und","0","399"
"node","text","0","291","291","und","0","12"
"node","audio","0","295","295","und","0","42"
"node","video","0","299","299","und","0","26"
"node","text","0","300","300","und","0","12"
"node","text","0","301","301","und","0","12"
"node","text","0","303","303","und","0","87"
"node","video","0","304","304","und","0","12"
"node","text","0","306","306","und","0","12"
"node","text","0","307","307","und","0","12"
"node","text","0","308","308","und","0","12"
"node","text","0","313","313","und","0","26"
"node","text","0","314","314","und","0","12"
"node","text","0","316","316","und","0","12"
"node","text","0","320","320","und","0","12"
"node","text","0","321","321","und","0","12"
"node","text","0","322","322","und","0","12"
"node","text","0","327","327","und","0","12"
"node","text","0","329","329","und","0","12"
"node","text","0","336","336","und","0","26"
"node","text","0","339","339","und","0","387"
"node","text","0","340","340","und","0","12"
"node","text","0","341","341","und","0","12"
"node","video","0","342","342","und","0","399"
"node","link","0","343","343","und","0","26"
"node","text","0","345","345","und","0","12"
"node","text","0","346","346","und","0","12"
"node","text","0","347","347","und","0","20"
"node","text","0","348","348","und","0","26"
"node","link","0","349","349","und","0","26"
"node","text","0","352","352","und","0","82"
"node","text","0","353","353","und","0","12"
"node","text","0","354","354","und","0","12"
"node","text","0","358","358","und","0","357"
"node","text","0","359","359","und","0","12"
"node","text","0","365","365","und","0","12"
"node","text","0","372","372","und","0","104"
"node","text","0","373","373","und","0","12"
"node","text","0","374","374","und","0","12"
"node","text","0","377","377","und","0","94"
"node","text","0","379","379","und","0","12"
"node","text","0","380","380","und","0","12"
"node","text","0","381","381","und","0","77"
"node","text","0","382","382","und","0","12"
"node","text","0","383","383","und","0","12"
"node","text","0","384","384","und","0","399"
"node","text","0","386","386","und","0","387"
"node","text","0","389","389","und","0","357"
"node","text","0","390","390","und","0","26"
"node","link","0","391","391","und","0","26"
"node","text","0","394","394","und","0","399"
"node","text","0","395","395","und","0","12"
"node","text","0","396","396","und","0","12"
"node","text","0","397","397","und","0","12"
"node","text","0","398","398","und","0","12"
"node","text","0","401","401","und","0","87"
"node","text","0","403","403","und","0","12"
"node","text","0","405","405","und","0","12"
"node","video","0","408","408","und","0","399"
"node","text","0","412","412","und","0","357"
"node","link","0","414","414","und","0","12"
"node","text","0","415","415","und","0","399"
"node","text","0","417","417","und","0","94"
"node","text","0","418","418","und","0","82"
"node","text","0","419","419","und","0","12"
"node","text","0","420","420","und","0","12"
"node","text","0","421","421","und","0","41"
"node","text","0","424","424","und","0","12"
"node","text","0","426","426","und","0","12"
"node","text","0","427","427","und","0","423"
"node","text","0","428","428","und","0","12"
"node","text","0","433","433","und","0","423"
"node","text","0","434","434","und","0","423"
"node","text","0","435","435","und","0","357"
"node","audio","0","436","436","und","0","26"
"node","text","0","440","440","und","0","12"
"node","text","0","441","442","und","0","26"
"node","text","0","442","443","und","0","12"
"node","text","0","443","444","und","0","12"
"node","text","0","444","445","und","0","94"
"node","text","0","449","450","und","0","94"
"node","text","0","450","451","und","0","12"
"node","text","0","451","452","und","0","12"
"node","text","0","452","453","und","0","12"
"node","video","0","455","456","und","0","77"
"node","text","0","456","457","und","0","42"
"node","text","0","457","458","und","0","41"
"node","text","0","459","460","und","0","12"
"node","text","0","460","461","und","0","46"
"node","text","0","461","462","und","0","12"
"node","text","0","463","464","und","0","209"
"node","text","0","465","466","und","0","41"
"node","text","0","467","468","und","0","26"
"node","text","0","468","469","und","0","12"
"node","text","0","469","470","und","0","12"
"node","text","0","469","690","und","0","12"
"node","text","0","470","471","und","0","12"
"node","text","0","471","472","und","0","399"
"node","text","0","475","476","und","0","12"
"node","text","0","476","477","und","0","399"
"node","text","0","477","478","und","0","99"
"node","text","0","478","479","und","0","12"
"node","text","0","482","483","und","0","26"
"node","text","0","483","484","und","0","12"
"node","text","0","484","485","und","0","12"
"node","text","0","485","486","und","0","12"
"node","text","0","486","487","und","0","12"
"node","text","0","489","490","und","0","12"
"node","text","0","491","492","und","0","12"
"node","video","0","501","502","und","0","83"
"node","text","0","504","505","und","0","12"
"node","text","0","506","507","und","0","12"
"node","text","0","508","509","und","0","20"
"node","text","0","509","510","und","0","87"
"node","text","0","513","514","und","0","12"
"node","text","0","515","516","und","0","12"
"node","text","0","517","518","und","0","12"
"node","text","0","519","520","und","0","12"
"node","text","0","520","521","und","0","12"
"node","text","0","521","522","und","0","12"
"node","link","0","522","523","und","0","26"
"node","text","0","523","524","und","0","12"
"node","text","0","524","525","und","0","12"
"node","text","0","525","526","und","0","12"
"node","text","0","527","528","und","0","78"
"node","text","0","528","529","und","0","26"
"node","text","0","529","530","und","0","12"
"node","text","0","530","531","und","0","12"
"node","text","0","531","532","und","0","12"
"node","text","0","532","533","und","0","12"
"node","text","0","534","535","und","0","12"
"node","text","0","537","538","und","0","12"
"node","text","0","538","539","und","0","12"
"node","text","0","539","540","und","0","12"
"node","text","0","540","541","und","0","12"
"node","text","0","541","542","und","0","357"
"node","text","0","542","543","und","0","12"
"node","text","0","547","549","und","0","12"
"node","text","0","548","550","und","0","12"
"node","text","0","550","552","und","0","12"
"node","text","0","552","554","und","0","357"
"node","text","0","556","558","und","0","40"
"node","text","0","557","559","und","0","12"
"node","text","0","558","560","und","0","12"
