"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_address_country","field_address_administrative_area","field_address_sub_administrative_area","field_address_locality","field_address_dependent_locality","field_address_postal_code","field_address_thoroughfare","field_address_premise","field_address_sub_premise","field_address_organisation_name","field_address_name_line","field_address_first_name","field_address_last_name","field_address_data"
"node","listing_lodging","0","7","7","und","0","US","NC",NULL,"Asheville",,"28801","84 Oakland Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","7","4586166","und","0","US","NC",NULL,"Asheville",,"28801","84 Oakland Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","9","9","und","0","US","NC",NULL,"Asheville",,"28801","128 Hillside Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","10","10","und","0","US","NC",NULL,"Asheville",,"28803","119 Dodge Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","10","4586176","und","0","US","NC",NULL,"Asheville",,"28803","119 Dodge Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","11","11","und","0","US","NC",NULL,"Asheville",,"28801","249 Cumberland Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","11","4586181","und","0","US","NC",NULL,"Asheville",,"28801","249 Cumberland Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","12","12","und","0","US","NC",NULL,"Candler",,"28715","2630 Smokey Park Highway",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","12","4586186","und","0","US","NC",NULL,"Candler",,"28715","2630 Smokey Park Highway",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","13","13","und","0","US","NC",NULL,"Asheville",,"28801","276 Montford Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","13","4586191","und","0","US","NC",NULL,"Asheville",,"28801","276 Montford Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","14","14","und","0","US","NC",NULL,"Asheville",,"28801","177 Cumberland Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","14","4586196","und","0","US","NC",NULL,"Asheville",,"28801","177 Cumberland Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","15","15","und","0","US","NC",NULL,"Asheville",,"28801","254 Cumberland Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","15","4586201","und","0","US","NC",NULL,"Asheville",,"28801","254 Cumberland Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","18","18","und","0","US","NC",NULL,"Leicester",,"28748","135 Potato Branch Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","18","4586216","und","0","US","NC",NULL,"Leicester",,"28748","135 Potato Branch Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","19","19","und","0","US","NC",NULL,"Lake Lure",,"28746","122 Harris Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","19","4586221","und","0","US","NC",NULL,"Lake Lure",,"28746","122 Harris Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","20","20","und","0","US","NC",NULL,"Waynesville",,"28786","142 Country Club Drive",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","20","4586226","und","0","US","NC",NULL,"Waynesville",,"28786","142 Country Club Drive",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","21","21","und","0","US","NC",NULL,"Waynesville",,"28786","92 Daisy Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","23","23","und","0","US","NC",NULL,"Asheville",,"28804","217 Patton Mountain Rd",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","25","25","und","0","US","NC",NULL,"Old Fort",,"28762","3895 Mill Creek Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","27","27","und","0","US","NC",NULL,"Burnsville",,"28714","109 Robertson St.",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","27","4586241","und","0","US","NC",NULL,"Burnsville",,"28714","109 Robertson St.",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","28","28","und","0","US","NC",NULL,"Hot Springs",,"28743","29 Walnut Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","28","4586246","und","0","US","NC",NULL,"Hot Springs",,"28743","29 Walnut Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","29","29","und","0","US","NC",NULL,"Asheville",,"28801","Montford Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","29","4586251","und","0","US","NC",NULL,"Asheville",,"28801","Montford Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","30","30","und","0","US","NC",NULL,"Asheville",,"28801","48 Cumberland Circle",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","30","4586256","und","0","US","NC",NULL,"Asheville",,"28801","48 Cumberland Circle",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","31","31","und","0","US","NC",NULL,"Asheville",,"28803","674 Biltmore Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","32","32","und","0","US","NC",NULL,"Asheville",,"28801","173 E. Chestnut Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","33","33","und","0","US","NC",NULL,"Asheville",,"28801","61 North Liberty Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","34","34","und","0","US","NC",NULL,"Asheville",,"28801","235 Pearson Drive",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","34","4586261","und","0","US","NC",NULL,"Asheville",,"28801","235 Pearson Drive",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","35","35","und","0","US","NC",NULL,"Asheville",,"28801","86 Edgemont Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","35","4586266","und","0","US","NC",NULL,"Asheville",,"28801","86 Edgemont Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","36","36","und","0","US","NC",NULL,"Asheville",,"28801","296 Montford Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","36","4586271","und","0","US","NC",NULL,"Asheville",,"28801","296 Montford Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","37","37","und","0","US","NC",NULL,"Asheville",,"28804","100 Reynolds Heights",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","38","38","und","0","US","NC",NULL,"Waynesville",,"28786","40 Old Hickory Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","38","4586276","und","0","US","NC",NULL,"Waynesville",,"28786","40 Old Hickory Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","39","39","und","0","US","NC",NULL,"Hot Springs",,"28743","289 NW Highway 25/70",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","39","4586281","und","0","US","NC",NULL,"Hot Springs",,"28743","289 NW Highway 25/70",,NULL,NULL,NULL,NULL,NULL,NULL
